분기별,면적당거래가격,물가지수,기준금리,실업율,고용률,GDP,유동성비율,인구이동률
2015/Q3,611.0,95.086,1.5,4.0,61.1,420790.8,57.56746338951098,18.63092334320139
2015/Q4,651.0,94.941,1.5,3.7,60.8,431569.8,58.77890401281679,20.23208879919273
2016/Q1,630.0,95.422,1.5,4.7,59.2,413495.1,59.075340792678844,19.62717421838882
2016/Q2,690.0,95.605,1.25,4.2,60.9,434536.3,59.09535767887631,18.02026283110162
2016/Q3,684.0,95.785,1.25,4.1,61.2,439479.8,59.26394816289155,18.11659111483758
2016/Q4,680.0,96.319,1.25,3.9,60.9,453268.4,59.72126538898643,19.93007368540891
2017/Q1,708.0,97.521,1.25,4.9,59.6,433086.1,60.26597951563173,20.077548256171323
2017/Q2,754.0,97.442,1.25,4.5,61.3,454226.7,59.984599503687654,17.14682321338779
2017/Q3,766.0,97.91,1.25,4.5,61.4,473427.5,60.24973281387226,18.08365335081166
2017/Q4,850.0,97.707,1.5,4.2,61.0,474957.9,60.68205967499425,16.83180563789992
2018/Q1,796.0,98.571,1.5,5.1,59.6,449231.1,61.201522683349594,19.22683816665994
2018/Q2,755.0,98.896,1.5,5.0,61.2,472824.7,60.91641877393479,16.82995346009773
2018/Q3,879.0,99.424,1.5,4.9,61.1,485725.4,60.11665215873777,15.727832099868
2018/Q4,824.0,99.453,1.75,4.1,60.9,490411.3,60.226513587064815,18.33114908810497
2019/Q1,866.0,99.105,1.75,5.3,59.6,455479.2,60.85799998738792,18.96129614417212
2019/Q2,1063.0,99.541,1.75,4.8,61.3,480743.7,60.455853352101926,15.22428687461078
2019/Q3,1062.0,99.469,1.5,4.0,61.5,488769.6,60.61602146739795,15.520154912474679
2019/Q4,1047.0,99.747,1.25,3.5,61.4,499505.6,60.965166936153594,17.36540187933048
2020/Q1,921.0,100.06,0.75,4.5,59.9,460085.6,61.05929190514787,21.012916838880617
2020/Q2,1080.0,99.55,0.5,5.3,60.0,475980.0,60.89109989541406,16.93602966441026
2020/Q3,1162.0,100.19,0.5,4.0,60.4,496340.3,60.774438090108276,17.172677669346488
2020/Q4,1287.0,100.2,0.5,4.4,60.0,508320.3,61.15655828737921,17.78778140288468
2021/Q1,1315.0,101.49,0.5,6.1,58.6,483472.6,60.976291464131016,19.0240774585309
2021/Q2,1371.0,102.03,0.5,5.2,61.0,514474.3,60.82820697524686,15.73940122552901
2021/Q3,1427.0,102.73,0.75,4.0,61.3,528869.3,60.88523261917141,16.25074248639914
2021/Q4,1443.0,103.75,1.0,4.0,61.1,544841.8,61.00281796308341,15.47046807653038
2022/Q1,1382.0,105.35,1.25,4.4,60.5,509565.8,61.742924097255134,16.43871663065167
2022/Q2,1452.0,107.54,1.75,3.6,62.7,540700.8,61.77027132099017,13.29731533843001
2022/Q3,1269.0,108.76,2.5,2.8,62.8,546304.5,61.67646751930358,12.78698044394705
2022/Q4,1249.0,109.2,3.25,2.9,62.3,554004.7,62.025424477611026,12.318005818775891
